Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Nellie Simpson,4.2,12.7,4.0,19.1,13.7,3.7,1.3,Advisor
Brad Garner,18.7,1.0,3.6,1.9,13.3,1.2,6.4,Assassin
Kristen Watkins,5.5,4.7,15.6,11.1,14.7,8.7,15.0,Priest
Marcella Peters,4.8,10.6,6.6,10.4,2.8,17.2,14.5,Enforcer
Vivian Montgomery,14.2,17.4,18.5,9.5,14.9,1.3,6.3,Accountant
Mildred Roberson,14.0,16.4,15.1,5.5,9.5,18.4,0.5,Enforcer
Pat Miles,18.9,7.3,6.9,15.8,2.4,13.1,14.7,Assassin
Ed Briggs,18.2,1.6,7.8,6.7,4.6,17.3,10.6,Assassin
Vanessa Strickland,2.3,10.9,2.0,15.4,17.1,3.3,9.3,Advisor
Marguerite Adkins,19.3,13.5,5.2,15.5,19.8,17.1,8.5,Advisor
Patrick Newman,4.7,8.8,7.7,2.3,9.4,18.4,17.5,Enforcer
Teri Goodwin,15.5,16.1,12.2,7.7,18.4,14.6,15.0,Recruiter
Drew Underwood,6.8,11.4,4.2,14.7,6.6,12.1,15.8,Priest
Jonathon Stephens,13.0,3.2,3.9,17.3,1.5,15.6,5.1,Assassin
Pauline Martinez,2.4,6.8,2.6,5.3,0.4,13.7,8.6,Enforcer
Cathy Brewer,12.8,7.9,12.5,7.0,5.4,9.5,6.6,Assassin
Dora Holloway,7.5,4.5,12.7,15.9,10.5,7.9,13.3,Priest
Joan Sharp,1.6,9.6,15.9,19.9,19.2,5.0,13.8,Priest
Darrell Murray,1.2,1.5,14.4,17.8,2.4,1.2,11.0,Priest
Jessie Edwards,6.6,14.4,17.6,1.8,11.1,8.4,0.3,Enforcer
Claudia Burgess,15.7,2.7,8.6,12.9,6.1,0.6,15.2,Assassin
Hubert Stewart,11.7,14.9,5.9,19.8,0.6,16.6,17.3,Priest
Edna Boone,2.2,6.8,3.9,5.0,0.3,17.3,2.2,Enforcer
Perry Bates,8.0,13.5,9.0,16.9,14.7,16.6,14.9,Priest
Yvette Smith,8.8,6.9,0.8,8.0,6.7,6.4,16.2,Recruiter
Shawn Hawkins,1.6,5.5,10.7,19.9,13.5,9.9,0.3,Accountant
Brandy Goodman,7.9,7.1,3.9,5.5,3.1,7.0,9.1,Recruiter
Roosevelt Bowers,8.0,3.9,6.4,13.3,9.7,6.7,4.4,Accountant
Pedro Brock,19.9,7.6,1.6,5.5,1.2,10.1,8.8,Assassin
Geoffrey Castillo,3.7,2.6,4.3,6.1,4.6,18.9,15.2,Enforcer
Wendy Cannon,17.1,17.6,0.6,15.1,5.7,5.3,15.9,Recruiter
Kristopher Pena,0.4,2.3,13.7,15.1,4.9,3.4,0.9,Accountant
Philip Graves,15.4,14.2,19.9,4.7,10.6,18.3,2.7,Enforcer
Dustin Gregory,10.9,14.3,5.2,2.3,14.9,6.3,4.3,Advisor
Patty Manning,8.8,8.6,19.3,9.5,8.3,3.1,11.6,Assassin
